Gen #,Bus #,Voltage (V),Rating (kVA),Min P,Max P,Min Power Factor (leading),Max Power factor (lagging),4th order coefficient,3th order coefficient,2th order coefficient,1th order coefficient,0th order coefficient,Start-up time (s),Start-up cost,Fuel cost,Initial Status
1,5,460,1000,25,1000,0.6,-0.6,74.135,-86.265,77.665,39.5165,12.5,10,3,3,1
2,42,13800,4000,100,4000,0.6,-0.6,296.54,-400.06,310.66,158.066,50,15,6,3,1
